
Query #1
c_name	o_orderdate	l_partkey	l_suppkey	l_quantity	l_extendedprice
slate lavender tomato black floral	965.06	288.73	846.26	507.93
cornflower orchid chocolate lawn light	966.06	447.08	809.13	709.81
slate cornsilk red orange plum	967.06	306.37	625.62	469.02
bisque frosted pale puff sandy	968.06	5.16	683.59	200.25
peru green linen blush olive	969.06	344.28	846.49	567.99
violet midnight dark cornsilk wheat	970.07	182.58	940.81	481.12
sky green spring lavender white	971.07	239.57	842.21	538.90
orange spring burlywood chocolate black	972.07	41.04	762.61	363.85
cream misty tomato peach burlywood	973.07	108.96	947.99	571.80
dim linen frosted thistle pale	974.07	345.92	930.97	655.73
aquamarine lace wheat salmon blue	975.07	433.59	884.01	675.34
bisque light yellow puff salmon	976.07	108.97	552.38	352.05
slate bisque burnished honeydew beige	977.07	254.92	936.13	617.26
blush green slate bisque powder	978.07	382.82	729.94	531.08
puff pink floral steel forest	979.07	28.33	891.18	641.27
tomato saddle brown bisque light	980.08	127.65	945.72	661.55
misty salmon cornflower dark frosted	981.08	220.23	550.29	418.11
khaki tomato purple indian lemon	982.08	585.86	900.07	696.87
chocolate green deep lace aquamarine	983.08	24.73	745.51	456.78
salmon peru frosted red chiffon	984.08	233.61	969.44	595.16
aquamarine cornsilk floral misty light	985.08	73.81	917.83	522.90
green blanched khaki steel deep	986.08	65.98	816.53	366.30
pale khaki sandy antique black	987.08	435.42	868.60	652.39
blue olive azure burlywood lavender	988.08	71.50	821.43	327.33
ghost khaki lawn pale dim	989.08	417.61	920.02	714.76
ghost goldenrod violet blue purple	990.09	50.84	666.13	406.20
dark beige metallic ivory burlywood	991.09	528.64	906.20	740.37
chiffon dodger turquoise thistle red	992.09	91.63	985.03	538.89
blanched yellow cornflower khaki mint	993.09	376.47	868.81	666.79
azure pink orange goldenrod grey	994.09	358.08	824.08	506.67
coral chocolate wheat smoke magenta	995.09	291.03	987.22	677.09
steel light drab chartreuse honeydew	996.09	202.06	672.29	508.18
metallic dodger aquamarine azure drab	997.09	129.77	761.41	397.22
frosted goldenrod chartreuse dark honeydew	998.09	139.00	908.21	628.98
lemon peru chiffon sienna deep	999.09	365.83	843.88	536.26
light orange khaki chiffon purple	1000.10	22.00	929.57	409.73
hot yellow turquoise violet floral	1001.10	218.71	786.53	480.68
firebrick orchid blanched sienna grey	1002.10	231.02	876.75	514.62
navy cream lime orange metallic	1003.10	361.48	905.88	571.75
dim cream chocolate cornflower orange	1004.10	15.57	946.39	476.31
rose puff ivory blanched burnished	1005.10	27.75	904.17	475.35
cornsilk beige deep lavender antique	1006.10	281.98	779.68	526.05
cyan coral red slate orange	1007.10	91.31	474.77	276.76
honeydew papaya gainsboro tomato puff	1008.10	241.47	922.27	587.37
lemon indian blanched chiffon coral	1009.10	275.19	992.21	644.62
cornflower azure beige floral black	1010.11	183.47	932.08	469.66
sandy almond chocolate moccasin misty	1011.11	321.97	978.65	635.51
hot burnished tomato chocolate peru	1012.11	111.42	913.75	656.14
almond coral royal honeydew lawn	1013.11	141.48	981.41	594.96
pale bisque antique white royal	1014.11	382.87	570.79	489.01
spring hot sienna azure dark	1015.11	81.52	867.45	473.44
thistle cornsilk pale firebrick black	1016.11	37.30	866.56	505.81
tomato grey chiffon burlywood ghost	1017.11	322.08	761.86	585.83
bisque plum royal burlywood brown	1018.11	283.27	976.55	582.54
olive black navajo burlywood ghost	1019.11	473.64	782.47	605.49
navy chocolate frosted burnished moccasin	1020.12	201.21	566.34	345.74
smoke chiffon gainsboro magenta firebrick	1021.12	147.45	850.42	525.62
ghost royal chocolate peach ivory	1022.12	451.29	739.25	619.67
cream almond papaya salmon blanched	1023.12	107.03	818.19	322.97
wheat azure khaki tan lime	1024.12	822.78	908.64	878.99
metallic indian magenta navy medium	1025.12	358.45	806.66	572.37
burnished navy indian medium deep	1026.12	194.38	929.43	449.33
moccasin green orchid blue blanched	1027.12	3.14	712.33	256.72
linen brown khaki snow gainsboro	1028.12	224.49	947.16	618.18
turquoise spring sandy tan ivory	1029.12	27.22	330.59	171.94
gainsboro goldenrod chiffon orchid rose	1030.13	223.38	883.99	456.44
tomato moccasin sandy blue frosted	1031.13	211.70	861.84	564.77
seashell papaya thistle light powder	1032.13	353.06	925.73	580.79
navajo black dim peru deep	1033.13	49.17	478.18	215.52
turquoise goldenrod white moccasin spring	1034.13	102.99	927.45	566.72
metallic lime cyan forest burlywood	1035.13	9.83	698.42	370.13
cornsilk blush powder tan rose	1036.13	387.57	806.19	566.94
saddle dodger purple salmon rosy	1037.13	187.31	441.11	325.63
dark goldenrod ghost hot grey	1038.13	119.83	885.35	472.79
floral chocolate purple deep coral	1039.13	285.75	972.23	658.15
frosted chiffon thistle sky grey	1040.14	45.84	781.45	439.47
peru sienna salmon snow gainsboro	1041.14	139.18	838.08	520.39
chartreuse sky deep slate thistle	1042.14	334.33	897.49	736.61
moccasin dim almond black misty	1043.14	199.37	960.64	668.32
wheat brown orange almond aquamarine	1044.14	361.83	849.96	595.76
indian rosy chartreuse orchid grey	1045.14	422.60	894.57	631.94
azure medium midnight burlywood blue	1046.14	123.91	882.37	524.01
honeydew brown deep light chartreuse	1047.14	102.19	939.14	435.90
yellow white tan khaki saddle	1048.14	177.40	774.56	366.76
tan cyan forest ghost plum	1049.14	201.03	679.10	364.76
antique red moccasin green burlywood	1050.15	33.71	814.79	425.14
chartreuse lime slate white thistle	1051.15	71.68	840.06	359.43
light indian linen dodger blush	1052.15	77.38	432.12	204.21
powder firebrick chiffon purple khaki	1053.15	285.92	685.52	547.86
peru powder pink orchid lace	1054.15	160.31	960.19	606.00
beige saddle cornsilk mint sky	1055.15	222.02	751.45	449.93
steel gainsboro plum black cornsilk	1056.15	9.87	994.19	427.60
navajo lime cream ghost drab	1057.15	288.41	901.53	531.96
magenta light rosy almond goldenrod	1058.15	408.72	837.16	532.52
linen drab antique steel aquamarine	1059.15	171.40	790.87	487.06
lace coral cream saddle maroon	1060.16	525.73	999.93	782.86
hot dodger rosy firebrick aquamarine	1061.16	394.05	893.72	691.57
aquamarine coral black ivory misty	1062.16	104.20	923.04	521.92
blush yellow frosted lace drab	1063.16	499.51	955.81	737.39
brown cream linen frosted blue	1064.16	64.89	814.67	326.38
chiffon dim coral sienna seashell	1065.16	210.84	943.82	650.69
linen royal chiffon floral misty	1066.16	309.00	714.49	559.15
almond lavender lawn pink ghost	1067.16	336.75	704.97	558.17
lace frosted brown slate lawn	1068.16	394.83	963.43	659.63
tan lime sky almond midnight	1069.16	476.19	947.03	689.03
peru green hot medium thistle	1070.17	202.07	667.16	425.52
beige seashell almond linen blush	1071.17	22.69	935.29	670.64
medium goldenrod tan light brown	1072.17	184.96	920.74	557.67
pale papaya tomato navajo coral	1073.17	70.22	877.84	496.42
plum pink medium saddle orchid	1074.17	126.20	681.95	271.77
azure blanched chartreuse moccasin ghost	1075.17	487.68	978.56	739.45
lawn forest indian orchid peru	1076.17	157.38	947.51	536.40
indian deep sandy floral yellow	1077.17	44.75	859.82	305.09
blue black cornflower white powder	1078.17	362.26	864.93	565.23
rose lime blush bisque ivory	1079.17	8.39	444.38	275.67
purple blanched khaki blush aquamarine	1080.18	426.16	934.59	666.46
almond burlywood smoke peru dark	1081.18	657.25	938.29	831.63
beige medium brown chartreuse purple	1082.18	365.00	741.46	540.27
ivory white wheat pale orange	1083.18	424.86	884.26	715.68
burlywood cream cornsilk chocolate purple	1084.18	186.84	576.88	441.27
firebrick rose indian spring magenta	1085.18	213.04	538.58	422.15
papaya cream chartreuse spring blush	1086.18	18.75	812.37	453.35
white brown cyan lavender orange	1087.18	238.66	989.71	476.94
gainsboro steel rosy dim drab	1088.18	331.70	920.20	684.37
dodger misty yellow brown grey	1089.18	392.50	946.07	626.26
chartreuse khaki ivory chiffon bisque	1090.19	396.60	621.53	521.26
navajo metallic puff firebrick cornflower	1091.19	119.41	521.06	307.97
light seashell firebrick cornflower green	1092.19	198.69	916.16	583.92
turquoise sienna rose rosy chocolate	1093.19	335.98	606.19	498.10
powder bisque cornflower navajo pink	1094.19	79.40	913.46	521.31
lace floral blush linen cornflower	1095.19	20.39	992.27	346.66
pale blush lime grey blue	1096.19	37.61	966.01	697.94
blue turquoise cornsilk rosy chartreuse	1097.19	279.05	897.33	693.94
orange khaki papaya cyan navajo	1098.19	166.93	697.10	531.36
royal slate lace olive gainsboro	1099.19	46.52	890.63	475.35
burnished mint navajo beige dark	1100.20	242.52	776.41	448.20
(200 rows)

Query #7
r_name	n_name	s_name	total_qty
AFRICA                   	ALGERIA                  	Supplier#000002962       	133446
AFRICA                   	ALGERIA                  	Supplier#000004078       	131163
AFRICA                   	ALGERIA                  	Supplier#000005545       	129886
AFRICA                   	ALGERIA                  	Supplier#000005576       	134927
AFRICA                   	ALGERIA                  	Supplier#000007150       	136375
AFRICA                   	ALGERIA                  	Supplier#000008847       	125264
AFRICA                   	ALGERIA                  	Supplier#000009075       	140097
AFRICA                   	ALGERIA                  	Supplier#000009664       	137582
AFRICA                   	ETHIOPIA                 	Supplier#000000393       	126208
AFRICA                   	ETHIOPIA                 	Supplier#000000456       	128633
AFRICA                   	ETHIOPIA                 	Supplier#000002985       	128827
AFRICA                   	ETHIOPIA                 	Supplier#000004774       	127818
AFRICA                   	ETHIOPIA                 	Supplier#000004984       	129752
AFRICA                   	ETHIOPIA                 	Supplier#000005870       	129662
AFRICA                   	ETHIOPIA                 	Supplier#000006171       	126905
AFRICA                   	ETHIOPIA                 	Supplier#000007173       	131744
AFRICA                   	ETHIOPIA                 	Supplier#000007284       	130685
AFRICA                   	ETHIOPIA                 	Supplier#000008179       	143329
AFRICA                   	ETHIOPIA                 	Supplier#000009773       	128237
AFRICA                   	KENYA                    	Supplier#000002581       	141689
AFRICA                   	KENYA                    	Supplier#000005786       	129626
AFRICA                   	KENYA                    	Supplier#000007534       	131655
AFRICA                   	KENYA                    	Supplier#000009019       	138961
AFRICA                   	MOROCCO                  	Supplier#000001819       	132393
AFRICA                   	MOROCCO                  	Supplier#000003050       	130152
AFRICA                   	MOROCCO                  	Supplier#000004575       	140715
AFRICA                   	MOROCCO                  	Supplier#000005075       	129332
AFRICA                   	MOROCCO                  	Supplier#000005160       	135829
AFRICA                   	MOROCCO                  	Supplier#000005172       	131927
AFRICA                   	MOROCCO                  	Supplier#000006841       	139658
AFRICA                   	MOROCCO                  	Supplier#000008074       	129148
AFRICA                   	MOZAMBIQUE               	Supplier#000000377       	129582
AFRICA                   	MOZAMBIQUE               	Supplier#000000818       	128951
AFRICA                   	MOZAMBIQUE               	Supplier#000003236       	125536
AFRICA                   	MOZAMBIQUE               	Supplier#000003838       	144563
AFRICA                   	MOZAMBIQUE               	Supplier#000007563       	131861
AFRICA                   	MOZAMBIQUE               	Supplier#000009262       	129970
AFRICA                   	MOZAMBIQUE               	Supplier#000009354       	136099
AFRICA                   	MOZAMBIQUE               	Supplier#000009481       	127816
AMERICA                  	ARGENTINA                	Supplier#000000886       	144221
AMERICA                  	ARGENTINA                	Supplier#000002821       	154159
AMERICA                  	ARGENTINA                	Supplier#000002899       	144151
AMERICA                  	ARGENTINA                	Supplier#000005817       	132958
AMERICA                  	ARGENTINA                	Supplier#000007031       	130920
AMERICA                  	ARGENTINA                	Supplier#000007698       	128705
AMERICA                  	ARGENTINA                	Supplier#000008397       	130169
AMERICA                  	ARGENTINA                	Supplier#000008573       	128795
AMERICA                  	ARGENTINA                	Supplier#000008907       	151659
AMERICA                  	ARGENTINA                	Supplier#000009964       	126057
AMERICA                  	BRAZIL                   	Supplier#000000940       	131583
AMERICA                  	BRAZIL                   	Supplier#000001324       	126781
AMERICA                  	BRAZIL                   	Supplier#000002146       	130867
AMERICA                  	BRAZIL                   	Supplier#000003722       	126063
AMERICA                  	BRAZIL                   	Supplier#000006503       	143903
AMERICA                  	BRAZIL                   	Supplier#000007221       	129560
AMERICA                  	BRAZIL                   	Supplier#000009521       	126865
AMERICA                  	CANADA                   	Supplier#000002272       	142937
AMERICA                  	CANADA                   	Supplier#000002419       	136958
AMERICA                  	CANADA                   	Supplier#000002630       	125071
AMERICA                  	CANADA                   	Supplier#000004527       	152819
AMERICA                  	CANADA                   	Supplier#000004975       	135346
AMERICA                  	CANADA                   	Supplier#000005426       	125631
AMERICA                  	PERU                     	Supplier#000001267       	132085
AMERICA                  	PERU                     	Supplier#000001961       	139051
AMERICA                  	PERU                     	Supplier#000003151       	132297
AMERICA                  	PERU                     	Supplier#000003318       	134240
AMERICA                  	PERU                     	Supplier#000003628       	150577
AMERICA                  	PERU                     	Supplier#000004719       	136322
AMERICA                  	PERU                     	Supplier#000005013       	143196
AMERICA                  	PERU                     	Supplier#000008389       	128301
AMERICA                  	PERU                     	Supplier#000009361       	132887
AMERICA                  	UNITED STATES            	Supplier#000000423       	136043
AMERICA                  	UNITED STATES            	Supplier#000003886       	140148
AMERICA                  	UNITED STATES            	Supplier#000004594       	127569
AMERICA                  	UNITED STATES            	Supplier#000005857       	125664
AMERICA                  	UNITED STATES            	Supplier#000006940       	129292
AMERICA                  	UNITED STATES            	Supplier#000007476       	139777
AMERICA                  	UNITED STATES            	Supplier#000007516       	128798
AMERICA                  	UNITED STATES            	Supplier#000008027       	125009
AMERICA                  	UNITED STATES            	Supplier#000008272       	126500
ASIA                     	CHINA                    	Supplier#000000075       	134236
ASIA                     	CHINA                    	Supplier#000002650       	128231
ASIA                     	CHINA                    	Supplier#000003672       	133915
ASIA                     	CHINA                    	Supplier#000005854       	130008
ASIA                     	CHINA                    	Supplier#000006273       	125250
ASIA                     	CHINA                    	Supplier#000006965       	129949
ASIA                     	CHINA                    	Supplier#000007654       	131754
ASIA                     	CHINA                    	Supplier#000008262       	134690
ASIA                     	CHINA                    	Supplier#000008400       	138574
ASIA                     	INDIA                    	Supplier#000004209       	135395
ASIA                     	INDIA                    	Supplier#000004507       	133568
ASIA                     	INDIA                    	Supplier#000004953       	165690
ASIA                     	INDIA                    	Supplier#000005243       	135811
ASIA                     	INDIA                    	Supplier#000006440       	144847
ASIA                     	INDIA                    	Supplier#000006475       	133747
ASIA                     	INDIA                    	Supplier#000008251       	132616
ASIA                     	INDIA                    	Supplier#000009175       	129349
ASIA                     	INDIA                    	Supplier#000009425       	134884
ASIA                     	INDONESIA                	Supplier#000000534       	151118
ASIA                     	INDONESIA                	Supplier#000000770       	127574
ASIA                     	INDONESIA                	Supplier#000001181       	126916
ASIA                     	INDONESIA                	Supplier#000002453       	156026
ASIA                     	INDONESIA                	Supplier#000003582       	132658
ASIA                     	INDONESIA                	Supplier#000004110       	128130
ASIA                     	INDONESIA                	Supplier#000007702       	149581
ASIA                     	JAPAN                    	Supplier#000002216       	130106
ASIA                     	JAPAN                    	Supplier#000002559       	157504
ASIA                     	JAPAN                    	Supplier#000004027       	132530
ASIA                     	JAPAN                    	Supplier#000004450       	125637
ASIA                     	JAPAN                    	Supplier#000005957       	137990
ASIA                     	JAPAN                    	Supplier#000006822       	131599
ASIA                     	JAPAN                    	Supplier#000008363       	139407
ASIA                     	JAPAN                    	Supplier#000009415       	157441
ASIA                     	VIETNAM                  	Supplier#000002405       	135064
ASIA                     	VIETNAM                  	Supplier#000002927       	141955
ASIA                     	VIETNAM                  	Supplier#000005815       	126405
ASIA                     	VIETNAM                  	Supplier#000005956       	134470
ASIA                     	VIETNAM                  	Supplier#000006516       	136904
ASIA                     	VIETNAM                  	Supplier#000008162       	139009
ASIA                     	VIETNAM                  	Supplier#000009865       	134278
EUROPE                   	FRANCE                   	Supplier#000000605       	148520
EUROPE                   	FRANCE                   	Supplier#000002304       	167800
EUROPE                   	FRANCE                   	Supplier#000002924       	137268
EUROPE                   	FRANCE                   	Supplier#000006129       	139426
EUROPE                   	FRANCE                   	Supplier#000006209       	160069
EUROPE                   	FRANCE                   	Supplier#000006975       	127776
EUROPE                   	FRANCE                   	Supplier#000008033       	131190
EUROPE                   	GERMANY                  	Supplier#000000996       	141484
EUROPE                   	GERMANY                  	Supplier#000009645       	130120
EUROPE                   	ROMANIA                  	Supplier#000000510       	135506
EUROPE                   	ROMANIA                  	Supplier#000002093       	126056
EUROPE                   	ROMANIA                  	Supplier#000003390       	129623
EUROPE                   	ROMANIA                  	Supplier#000006085       	135013
EUROPE                   	ROMANIA                  	Supplier#000008984       	127399
EUROPE                   	ROMANIA                  	Supplier#000009366       	149891
EUROPE                   	RUSSIA                   	Supplier#000000791       	126463
EUROPE                   	RUSSIA                   	Supplier#000000813       	130488
EUROPE                   	RUSSIA                   	Supplier#000001880       	132543
EUROPE                   	RUSSIA                   	Supplier#000002865       	131963
EUROPE                   	RUSSIA                   	Supplier#000003745       	125384
EUROPE                   	RUSSIA                   	Supplier#000005371       	127333
EUROPE                   	RUSSIA                   	Supplier#000007110       	125658
EUROPE                   	RUSSIA                   	Supplier#000007802       	133517
EUROPE                   	RUSSIA                   	Supplier#000009010       	125545
EUROPE                   	RUSSIA                   	Supplier#000009605       	128017
EUROPE                   	UNITED KINGDOM           	Supplier#000001112       	130548
EUROPE                   	UNITED KINGDOM           	Supplier#000001518       	129729
EUROPE                   	UNITED KINGDOM           	Supplier#000002371       	157021
EUROPE                   	UNITED KINGDOM           	Supplier#000002632       	126996
EUROPE                   	UNITED KINGDOM           	Supplier#000004811       	130313
EUROPE                   	UNITED KINGDOM           	Supplier#000005146       	126996
EUROPE                   	UNITED KINGDOM           	Supplier#000006239       	126190
EUROPE                   	UNITED KINGDOM           	Supplier#000009441       	129934
EUROPE                   	UNITED KINGDOM           	Supplier#000009478       	167356
MIDDLE EAST              	EGYPT                    	Supplier#000002516       	149365
MIDDLE EAST              	EGYPT                    	Supplier#000003377       	126882
MIDDLE EAST              	EGYPT                    	Supplier#000003924       	129168
MIDDLE EAST              	EGYPT                    	Supplier#000007831       	127873
MIDDLE EAST              	EGYPT                    	Supplier#000008285       	132669
MIDDLE EAST              	EGYPT                    	Supplier#000008605       	128496
MIDDLE EAST              	EGYPT                    	Supplier#000008735       	138406
MIDDLE EAST              	EGYPT                    	Supplier#000009675       	129727
MIDDLE EAST              	EGYPT                    	Supplier#000009781       	136013
MIDDLE EAST              	EGYPT                    	Supplier#000009851       	159023
MIDDLE EAST              	IRAN                     	Supplier#000004784       	137326
MIDDLE EAST              	IRAN                     	Supplier#000004820       	134211
MIDDLE EAST              	IRAN                     	Supplier#000005294       	126846
MIDDLE EAST              	IRAN                     	Supplier#000005447       	139868
MIDDLE EAST              	IRAN                     	Supplier#000005803       	144181
MIDDLE EAST              	IRAN                     	Supplier#000007303       	135703
MIDDLE EAST              	IRAN                     	Supplier#000007846       	136740
MIDDLE EAST              	IRAN                     	Supplier#000007860       	127837
MIDDLE EAST              	IRAN                     	Supplier#000007983       	136340
MIDDLE EAST              	IRAQ                     	Supplier#000002170       	140403
MIDDLE EAST              	IRAQ                     	Supplier#000002306       	150831
MIDDLE EAST              	IRAQ                     	Supplier#000002690       	127266
MIDDLE EAST              	IRAQ                     	Supplier#000003342       	127438
MIDDLE EAST              	IRAQ                     	Supplier#000004428       	127417
MIDDLE EAST              	IRAQ                     	Supplier#000004571       	126420
MIDDLE EAST              	IRAQ                     	Supplier#000005574       	127858
MIDDLE EAST              	IRAQ                     	Supplier#000007408       	138938
MIDDLE EAST              	JORDAN                   	Supplier#000000537       	126031
MIDDLE EAST              	JORDAN                   	Supplier#000004778       	134412
MIDDLE EAST              	JORDAN                   	Supplier#000006643       	147916
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000001944       	129880
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000003335       	125943
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000004831       	147984
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000005435       	142491
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000005578       	132467
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000005920       	138001
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000006705       	131387
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000007896       	130095
MIDDLE EAST              	SAUDI ARABIA             	Supplier#000008210       	135919
(193 rows)

Query #8
l_orderkey	num_lineitems	total_quantity	total_profit
413762	7	294	461087.83
4515876	7	293	446774.87
4311651	7	267	445127.04
3586919	7	299	422378.47
2474850	7	290	422011.01
4764774	7	284	418212.08
2224069	7	298	413955.61
2820355	7	298	412209.97
2232932	7	304	410062.24
5290594	7	273	409392.81
2209927	7	256	409265.47
3597604	7	286	406228.66
3043270	7	317	404520.65
101700	7	281	404167.08
2756705	7	293	403712.74
2350561	7	275	402756.00
4722021	7	323	398387.88
3605638	6	272	398309.45
5917732	7	267	396553.15
5709632	7	280	395784.65
664711	7	250	394712.71
95808	7	274	392628.64
5471879	7	292	392326.91
3893825	7	249	391866.08
811074	7	268	390965.06
3883783	7	302	390821.53
3307010	7	267	390407.47
55937	7	268	389902.36
5852742	7	284	389830.44
2366755	7	302	388358.64
2408804	6	263	388220.47
280129	6	240	386953.12
4329223	7	244	385317.27
922086	7	274	385145.71
1340064	7	266	385066.49
1936802	7	265	384649.02
1302880	7	228	384469.93
4740835	7	267	384435.16
41445	7	256	383723.11
4576548	7	295	381855.00
1975399	7	294	381288.07
4322563	7	263	381235.56
5725605	7	281	380996.62
3583616	7	274	380959.29
3312576	7	285	380898.57
1031427	7	291	380676.14
1634436	7	276	380608.56
3991843	6	234	380171.65
4165504	7	273	379922.01
4362401	7	256	377852.95
719968	7	278	377531.26
1611812	7	274	377142.41
3474881	7	268	377116.90
2128003	7	239	376308.95
2152359	7	291	376088.56
5423748	7	274	375775.64
(56 rows)
